Simulation Log Export
Generated: 2026-04-24T14:01:13
Rows: 2035

t_s	x_m	z_m	vx	vz	mach	miss_distance_m	rcs_dbsm	guidance_phase
0.78	-19328.500018580216	4.38022089479272	849.9999405593675	-0.9863826074444725	2.4978709714746996	19328.50051490261	9.007131814290418	cruise
0.79	-19320.000019179006	4.3713665687230465	849.9999397527877	-0.7844826065959122	2.49787035105457	19320.00051371434	9.005320904916164	cruise
0.8	-19311.500019785108	4.362581191578044	849.9999389625058	-0.9725928223084912	2.4978709200851457	19311.500512551447	9.00701340167761	cruise
0.81	-19303.000020399704	4.353864763359483	849.9999381875924	-0.7706928215056199	2.497870309383611	19303.00051141504	9.005202424610921	cruise
0.8200000000000001	-19294.500021021304	4.345220262167946	849.9999374293196	-0.9582074167091071	2.497870867566371	19294.50051030423	9.006889537080035	cruise
0.8300000000000001	-19286.000021651063	4.336647688005133	849.999936686699	-0.7563074159520555	2.497870267001027	19286.0005092201	9.005078489002313	cruise
0.84	-19277.500022287513	4.328149708406924	849.9999359609662	-0.9432885036008352	2.4978708142132	19277.50050816171	9.006760773393847	cruise
0.85	-19269.00002293179	4.3197263233749466	849.9999352510791	-0.7413885028893978	2.497870224157741	19269.000507130117	9.004949651312858	cruise
0.86	-19260.500023582437	4.311379907402831	849.9999345582386	-0.9278946914485106	2.4978707602985235	19260.500506124336	9.006627632529288	cruise
0.87	-19252.00002424057	4.303110460492133	849.999933881354	-0.7259946907821829	2.4978701810852297	19252.000505145395	9.004816433753803	cruise
0.88	-19243.500024904755	4.294920080829857	849.9999332215932	-0.9120812415912629	2.4978707060737566	19243.50050419226	9.006490606780178	cruise
0.89	-19235.00002557608	4.28680876841749	849.9999325778224	-0.7101812409692776	2.49787013799587	19235.000503265946	9.004679328903286	cruise
0.9	-19226.500026253143	4.278778361114509	849.9999319511782	-0.8959002195489225	2.497870651769421	19226.500502365383	9.006350160179139	cruise
0.91	-19218.000026937	4.27082885892233	849.9999313404879	-0.694000218970284	2.4978700950834183	19218.000501491555	9.004538801069565	cruise
0.92	-19209.500027626276	4.262961854624744	849.9999307468593	-0.879400640472402	2.4978705975958277	19209.500500643364	9.006206729768067	cruise
0.93	-19201.000028322007	4.255177348223102	849.999930169085	-0.6775006399359195	2.4978700525235853	19201.00049982177	9.00439528754288	cruise
0.9400000000000001	-19192.50002902284	4.247476701978397	849.9999296082458	-0.8626286089340158	2.497870543743839	19192.50049902566	9.006060726834306	cruise
0.9500000000000001	-19184.00002972979	4.239859915891916	849.9999290631043	-0.6607286084383348	2.497870010474702	19184.00049825595	9.00424919985959	cruise
0.96	-19175.500030441526	4.232328135583145	849.9999285347158	-0.8456274532482836	2.497870490385691	19175.500497511515	9.005912538094158	cruise
0.97	-19167.000031159037	4.224881361053305	849.9999280218169	-0.6437274527919148	2.4978699690784465	19167.00049679326	9.00410092495789	cruise
0.98	-19158.500031881034	4.217520534516482	849.9999275254393	-0.8284378545084123	2.4978704376758594	19158.500496100027	9.00576252683579	cruise
0.99	-19150.000032608474	4.210245655973836	849.9999270442975	-0.6265378540897587	2.4978699284606187	19150.00049543271	9.00395082634639	cruise
1.0	-19141.500033340097	4.20305747685049	849.9999265794013	-0.811097970518428	2.4978703857519573	19141.500494790136	9.005611034013333	cruise
1.01	-19133.000034076835	4.195955997147545	849.9999261294465	-0.6091979701358097	2.4978698887319473	19133.000494173175	9.00379924516696	cruise
1.02	-19124.500034817458	4.188941789522598	849.9999256954229	-0.7936435547957769	2.497870334735647	19124.500493580643	9.00545837928077	cruise
1.03	-19116.000035562876	4.182014853976691	849.999925276011	-0.5917435544474539	2.4978698499889216	19116.000493013387	9.003646501271227	cruise
1.04	-19107.50003631189	4.17517559585011	849.9999248721819	-0.7761080708142359	2.4978702847335654	19107.50049247023	9.005304862018427	cruise
1.05	-19099.000037065383	4.168424015143838	849.9999244826039	-0.5742080704984287	2.4978698123146286	19099.00049195199	9.003492894218844	cruise
1.06	-19090.50003782219	4.161760360782829	849.9999241082312	-0.7585228016519964	2.497870235838239	19090.500491457482	9.00515076229705	cruise
1.07	-19082.00003858317	4.155184632768009	849.999923747723	-0.5566228013669041	2.497869775779597	19082.000490987506	9.003338704235379	cruise
1.08	-19073.50003934719	4.148696933984907	849.9999234020175	-0.7409169552050239	2.4978701881289997	19073.500490540886	9.004996341787333	cruise
1.09	-19065.000040115083	4.142297264434396	849.9999230697676	-0.5390169549488413	2.497869740442632	19065.000490118397	9.003184193159893	cruise
1.1	-19056.50004088575	4.135985590833819	849.9999227518973	-0.7233177651210452	2.497870141672877	19056.500489718866	9.004841844684115	cruise
1.11	-19048.00004166	4.129761913183996	849.9999224470554	-0.5214177648919764	2.4978697063516395	19048.000489343045	9.003029605324823	cruise
1.12	-19039.500042436764	4.123626071421298	849.9999221561526	-0.7057505876049338	2.4978700965254736	19039.500488989765	9.004687498521331	cruise
1.1300000000000001	-19031.000043216834	4.117578065546494	849.9999218778364	-0.5038505874012054	2.497869673544429	19031.000488659767	9.00287516840314	cruise
1.1400000000000001	-19022.500043999164	4.11161761763808	849.9999216130054	-0.6882389942417457	2.497870052731819	19022.50048835188	9.004533515027578	cruise
1.1500000000000001	-19014.00004478453	4.105744727696776	849.9999213603078	-0.48633899406161746	2.4978696420495026	19014.000488066835	9.002721094241249	cruise
1.16	-19005.500045571916	4.0999590084213855	849.9999211206309	-0.6708048609792608	2.4978700103271874	19005.50048780347	9.004380090882908	cruise
1.17	-18997.000046362074	4.094260459812582	849.9999208926258	-0.4689048608210348	2.4978696118868093	18997.000487562487	9.002567579651318	cruise
1.18	-18988.500047154022	4.088648593241265	849.9999206771695	-0.6534684534075814	2.4978699693378905	18988.500487342746	9.004227408485065	cruise
1.19	-18980.00004794849	4.0831234087080635	849.9999204729179	-0.4515684532696099	2.497869583068478	18980.000487144924	9.002414807131668	cruise
1.2	-18971.500048744525	4.0776843238992075	849.9999202807383	-0.6362485084691543	2.497869929782038	18971.500486967892	9.004075636666462	cruise
1.21	-18963.000049542836	4.0723313388152835	849.9999200992931	-0.4343485083498462	2.4978695555995154	18963.000486812314	9.002262945614328	cruise
1.22	-18954.5000503425	4.067063784709742	849.9999199294409	-0.6191623127284527	2.497869891670261	18954.50048667708	9.003924931391811	cruise
1.23	-18946.00005114421	4.061881661583127	849.9999197698522	-0.41726231262627844	2.4978695294784763	18946.00048656283	9.002112151165319	cruise
